# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 11338 4 1 2065 46533 3 ./node_modules/.resolve-aN6ivqej/test/resolver/cup.coffee
DUPTYPE_WITHIN_SAME_TREE -11338 4 1 2065 442008 3 ./node_modules/resolve/test/resolver/cup.coffee
DUPTYPE_WITHIN_SAME_TREE -11338 6 1 2065 441991 3 ./node_modules/eslint-plugin-react/node_modules/resolve/test/resolver/cup.coffee
DUPTYPE_WITHIN_SAME_TREE -11338 6 1 2065 46521 3 ./node_modules/eslint-plugin-react/node_modules/.resolve-OTyGimHc/test/resolver/cup.coffee
DUPTYPE_FIRST_OCCURRENCE 23 1 2 2065 468136 3 ./.next/react-loadable-manifest.json
DUPTYPE_WITHIN_SAME_TREE -23 2 2 2065 468149 3 ./.next/server/pages-manifest.json
DUPTYPE_FIRST_OCCURRENCE 4402 3 3 2065 46220 3 ./node_modules/.tailwindcss-tTY7t5Jt/stubs/.npmignore
DUPTYPE_WITHIN_SAME_TREE -4402 3 3 2065 464881 3 ./node_modules/tailwindcss/stubs/.npmignore
DUPTYPE_FIRST_OCCURRENCE 537 2 10 2065 41447 3 ./node_modules/call-bind/.eslintignore
DUPTYPE_WITHIN_SAME_TREE -537 2 10 2065 41033 3 ./node_modules/es-to-primitive/.eslintignore
DUPTYPE_FIRST_OCCURRENCE 4957 3 10 2065 448033 3 ./node_modules/any-promise/register/bluebird.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448036 3 ./node_modules/any-promise/register/rsvp.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448029 3 ./node_modules/any-promise/register/native-promise-only.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448031 3 ./node_modules/any-promise/register/q.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448038 3 ./node_modules/any-promise/register/pinkie.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448040 3 ./node_modules/any-promise/register/vow.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448041 3 ./node_modules/any-promise/register/lie.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448028 3 ./node_modules/any-promise/register/es6-promise.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448043 3 ./node_modules/any-promise/register/promise.d.ts
DUPTYPE_WITHIN_SAME_TREE -4957 3 10 2065 448042 3 ./node_modules/any-promise/register/when.d.ts
DUPTYPE_FIRST_OCCURRENCE 1666 2 11 2065 450400 3 ./node_modules/date-fns/types.mjs
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467649 3 ./node_modules/next/dist/server/future/normalizers/request/prefix.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 466782 3 ./node_modules/next/dist/server/future/normalizers/absolute-filename-normalizer.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 439726 3 ./node_modules/.next-TqhSVffh/dist/client/components/promise-queue.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464428 3 ./node_modules/.next-TqhSVffh/dist/server/future/helpers/i18n-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 49901 3 ./node_modules/.next-TqhSVffh/dist/trace/trace.test.d.ts
